stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
Boppard Hbf,625538,163685,50.231415,7.586102,
Borovnica,,233677,45.921318,14.367972,1
Borovnica,233677,183449,45.921318,14.367972,
Brandenburg Hbf,330861,451513,52.400276,12.565075,
Brandenburg Hbf,330861,468818,52.40043,12.565258,
Brandenburg Hbf,330861,639430,52.40021,12.565134,
"Brandenburg, Hauptbahnhof",,330861,52.400795,12.566036,1
Bratislava hl.st.,,429397,48.15891,17.106466,1
Bratislava hl.st.,429397,96662,48.15891,17.106466,
Braunschweig Hbf,235290,300566,52.252216,10.540295,
"Braunschweig, Hauptbahnhof",,235290,52.252644,10.539547,1
Breclav,,83163,48.7539,16.893236,1
Breclav,83163,336008,48.7539,16.893236,
Breclav(Gr),,635627,48.71265,16.86837,1
Breclav(Gr),635627,6677,48.71265,16.86837,
Bregenz,,555498,47.503002,9.739627,1
Bregenz,555498,133107,47.503002,9.739627,
Bregenz Riedenburg,,383065,47.49291,9.721313,1
Bregenz Riedenburg,383065,576879,47.49291,9.721313,
Bremen Hbf,,134687,53.083454,8.813719,1
Bremen Hbf,134687,347069,53.083256,8.812798,
Bremen Hbf,134687,452970,53.08348,8.813834,
Bremerhaven Hbf,,368471,53.534832,8.599605,1
Bremerhaven Hbf,368471,261968,53.53489,8.599382,
Bremerhaven Hbf,368471,667359,53.534767,8.599834,
Bremerhaven-Lehe,,356005,53.566425,8.600774,1
Bremerhaven-Lehe,356005,124538,53.5664,8.600854,
Bremerhaven-Lehe,356005,306846,53.56645,8.600694,
Brennero/Brenner,,622878,47.002342,11.505426,1
Brennero/Brenner,622878,105802,47.002342,11.505426,
Bressanone/Brixen,,601820,46.709896,11.649764,1
Bressanone/Brixen,601820,427660,46.709896,11.649764,
Brig,,638702,46.319424,7.988095,1
Brig,638702,94794,46.319424,7.988095,
Brno hl.n.,,582004,49.19054,16.612774,1
Brno hl.n.,582004,399207,49.19054,16.612774,
Bruchsal,,549753,49.124924,8.590347,1
Bruchsal,549753,165520,49.125088,8.590113,
Bruchsal,549753,442288,49.124622,8.589649,
Bruchsal,549753,456986,49.125053,8.590275,
Bruck/Mur,,487434,47.41383,15.279433,1
Bruck/Mur,487434,246111,47.41383,15.279433,
Bruxelles Midi,,664323,50.835377,4.335694,1
Bruxelles Midi,664323,278372,50.835377,4.335694,
Bruxelles-Nord,,576754,50.860237,4.361454,1
Bruxelles-Nord,576754,478340,50.860237,4.361454,
Buchloe,,396822,48.033722,10.716219,1
Buchloe,396822,567490,48.033722,10.716217,
Budapest-Kelenföld,,277523,47.464355,19.020456,1
Budapest-Kelenföld,277523,227980,47.464355,19.020456,
Budapest-Keleti,,368301,47.50038,19.085072,1
Budapest-Keleti,368301,211284,47.50038,19.085072,
Budapest-Nyugati,,82812,47.510708,19.057467,1
Budapest-Nyugati,82812,228571,47.510708,19.057467,
Bydgoszcz Glowna,,193077,53.135113,17.991636,1
Bydgoszcz Glowna,193077,222970,53.135113,17.991636,
Böblingen,,571109,48.687847,9.004533,1
Böblingen,571109,161405,48.688004,9.00438,
Böblingen,571109,265019,48.68794,9.004488,
Böblingen,571109,512714,48.687847,9.004641,
Büchen,663050,323328,53.474968,10.623285,
"Büchen, Büchen",,663050,53.47661,10.620907,1
Bünde(Westf),526456,181055,52.20239,8.574419,
Bünde(Westf),526456,92361,52.202274,8.574509,
"Bünde, Bahnhof / ZOB",,526456,52.20191,8.575767,1
Bützow,87677,433325,53.83709,11.998258,
Bützow,87677,445349,53.83715,11.998132,
Bützow,87677,82297,53.83704,11.997872,
"Bützow, Bahnhof",,87677,53.837006,11.997513,1
Celle,,327115,52.620457,10.062468,1
Celle,327115,549234,52.620457,10.062468,
Ceska Trebova,,472211,49.897324,16.446808,1
Ceska Trebova,472211,68936,49.897324,16.446808,
Chemnitz Hbf,208281,101249,50.84002,12.930907,
Chemnitz Hbf,208281,212383,50.83933,12.931177,
Chemnitz Hbf,208281,222264,50.84004,12.930799,
Chemnitz Hbf,208281,334927,50.839336,12.931096,
"Chemnitz, Hauptbahnhof",,208281,50.83963,12.930692,1
Chur,,160304,46.853085,9.528938,1
Chur,160304,654008,46.853085,9.528938,
Coburg,,43162,50.262924,10.957326,1
Coburg,43162,390927,50.262928,10.957328,
Cottbus Hbf,464727,156538,51.75054,14.323346,
Cottbus Hbf,464727,509276,51.751488,14.323561,
"Cottbus, Hauptbahnhof",,464727,51.750984,14.324464,1
Crailsheim,124217,175307,49.13768,10.06459,
Crailsheim,124217,571485,49.13787,10.064326,
Crailsheim,124217,606472,49.137604,10.064814,
Crailsheim Bahnhof,,124217,49.137913,10.06432,1
Czechowice-Dziedzice,,202615,49.915104,19.00465,1
Czechowice-Dziedzice,202615,502196,49.915104,19.00465,
D-Flughafen Bf,,241548,51.292088,6.786979,1
Dagebüll Kirche,,614129,54.73058,8.729632,1
Dagebüll Mole,,116460,54.73011,8.690239,1
Dagebüll Mole,116460,424277,54.729908,8.690989,
"Dagebüll, Kirche, Mast 9RB",614129,340651,54.73028,8.729485,
Darmstadt Hauptbahnhof,,303932,49.871937,8.631143,1
Darmstadt Hbf,303932,105970,49.873035,8.629159,
Debica,,596018,50.054417,21.405565,1
Debica,596018,13211,50.054417,21.405565,
Decin hl.n.,,339573,50.77325,14.200999,1
Decin hl.n.,339573,262925,50.773415,14.201247,
Deezbüll,,136871,54.77697,8.818274,1
Deezbüll,136871,664804,54.77697,8.818274,
Delmenhorst,,195196,53.05278,8.629879,1
Delmenhorst,195196,595912,53.05279,8.629758,
Dessau Hbf,,349579,51.839867,12.23494,1
Dessau Hbf,349579,636286,51.839867,12.234945,
Deventer,,296600,52.257435,6.160506,1
Deventer,296600,508359,52.257435,6.160506,
Diepholz,,487995,52.6046,8.380249,1
Diepholz,487995,42288,52.6046,8.380267,
Diepholz,487995,88475,52.604637,8.38013,
Dillenburg,466782,149979,50.734905,8.294586,
Dillenburg Bahnhof,,466782,50.734905,8.294586,1
Doberlug-Kirchhain,159989,477195,51.62053,13.564161,
Doberlug-Kirchhain,159989,661271,51.620533,13.564268,
"Doberlug-Kirchhain, Bahnhof",,159989,51.62061,13.564187,1
Dobova,,391562,45.89839,15.655178,1
Dobova,391562,149487,45.89839,15.655178,
Dobova(Gr),,440562,45.890633,15.680238,1
Dobova(Gr),440562,424534,45.890633,15.680238,
Domodossola,,613718,46.11529,8.296239,1
Domodossola,613718,44370,46.11529,8.296239,
Donaueschingen,329304,266163,47.947784,8.498919,
Donaueschingen,329304,335040,47.94801,8.4987,
Donaueschingen,329304,453427,47.94808,8.498727,
Donaueschingen Bahnhof,,329304,47.94753,8.499428,1
Donauwörth,,456789,48.714024,10.771447,1
Donauwörth,456789,429558,48.714027,10.771443,
Dorfgastein,,582137,47.23867,13.103062,1
Dorfgastein,582137,547287,47.23867,13.103062,
Dornbirn,,39140,47.41769,9.738808,1
Dornbirn,39140,526912,47.41769,9.738808,
Dortmund Hbf,,109795,51.51689,7.459592,1
Dortmund Hbf,109795,125296,51.517895,7.45929,
Dortmund Hbf,109795,243706,51.51796,7.458703,
Dortmund Hbf,109795,249679,51.51821,7.45864,
Dortmund Hbf,109795,312343,51.518333,7.458604,
Dortmund Hbf,109795,329667,51.518063,7.458685,
Dortmund Hbf,109795,354183,51.517883,7.458721,
Dortmund Hbf,109795,53849,51.517723,7.458775,
Dortmund Hbf,109795,612894,51.5176,7.458793,
Dresden Bahnhof Neustadt,,582119,51.065426,13.740882,1
Dresden Hauptbahnhof,,508233,51.03993,13.732932,1
Dresden Hbf,508233,152584,51.039875,13.731396,
Dresden Hbf,508233,40660,51.03996,13.731468,
Dresden Hbf,508233,650360,51.040016,13.731531,
Dresden Hbf,508233,65780,51.04052,13.731962,
Dresden-Neustadt,582119,198870,51.0659,13.740701,
Dresden-Neustadt,582119,231436,51.066097,13.740235,
Dresden-Neustadt,582119,325684,51.066017,13.740352,
Dresden-Neustadt,582119,363445,51.065994,13.740424,
Dresden-Neustadt,582119,577026,51.06591,13.740541,
Duisburg Hbf,,96179,51.430454,6.774528,1
Duisburg Hbf,96179,178689,51.429867,6.776882,
Duisburg Hbf,96179,226658,51.43001,6.775624,
Duisburg Hbf,96179,447856,51.429836,6.777088,
Duisburg Hbf,96179,449066,51.42997,6.775902,
Duisburg Hbf,96179,480279,51.43,6.775696,
Duisburg Hbf,96179,81978,51.429787,6.775903,
Döbeln Hbf,187412,525851,51.12688,13.095119,
"Döbeln, Hauptbahnhof",,187412,51.126686,13.09564,1
Düren,,362952,50.809517,6.482451,1
Düren,362952,118703,50.809517,6.482451,
Düsseldorf Flughafen,241548,357279,51.292007,6.786836,
Düsseldorf Flughafen,241548,446068,51.291794,6.78679,
Düsseldorf Flughafen,241548,496707,51.291813,6.78705,
Düsseldorf Flughafen,241548,576419,51.29178,6.786601,
Düsseldorf Hbf,,37892,51.220253,6.792997,1
Düsseldorf Hbf,37892,11010,51.219963,6.794319,
Düsseldorf Hbf,37892,141701,51.219555,6.794947,
Düsseldorf Hbf,37892,165273,51.219597,6.794866,
Düsseldorf Hbf,37892,341295,51.220165,6.793743,
Düsseldorf Hbf,37892,366808,51.219673,6.794704,
Düsseldorf Hbf,37892,514819,51.21992,6.79421,
Düsseldorf Hbf,37892,528791,51.219444,6.795171,
Düsseldorf Hbf,37892,546828,51.21948,6.795099,
Düsseldorf Hbf,37892,662731,51.219364,6.795333,
Düsseldorf Hbf,37892,81442,51.219707,6.794641,
Eberswalde Hbf,446552,394660,52.83376,13.796866,
Eberswalde Hbf,446552,466846,52.833755,13.797157,
Eberswalde Hbf,446552,85358,52.833805,13.796755,
"Eberswalde, Hauptbahnhof",,446552,52.833683,13.79695,1
Eichenberg,,220705,51.374825,9.921482,1
Eichenberg,220705,161979,51.374825,9.921482,
Eisenach,,341533,50.976894,10.331974,1
Eisenach,341533,340249,50.97692,10.331986,
Ellwangen,13079,121686,48.96439,10.129664,
Ellwangen,13079,632827,48.964123,10.129681,
Ellwangen Bahnhof,,13079,48.964535,10.129762,1
Elsterwerda,57388,206292,51.459404,13.516305,
Elsterwerda,57388,349713,51.460335,13.516754,
"Elsterwerda, Bahnhof",,57388,51.459805,13.516412,1
Elze(Han),28289,475428,52.120564,9.747125,
Elze/Bahnhof,,28289,52.12058,9.746604,1
Emden Außenhafen,402359,574485,53.344498,7.186394,
Emden Hbf,322831,114248,53.369396,7.195112,
Emden Hbf,322831,434760,53.36936,7.195267,
Emden Hbf,322831,71061,53.36933,7.195423,
Emden Hbf,322831,95236,53.369442,7.194968,
Emden(Ostfriesl) Außenhafen,,402359,53.344498,7.186394,1
Emden(Ostfriesl) Hbf,,322831,53.36925,7.195502,1
Emmerich(Gr),,426779,51.901196,6.137652,1
Emmerich(Gr),426779,162532,51.901196,6.137652,
Engen,608668,209492,47.8561,8.772597,
Engen,608668,368768,47.85621,8.772516,
Engen Bahnhof,,608668,47.856007,8.772561,1
Erfurt Hbf,,125835,50.97227,11.038131,1
Erfurt Hbf,125835,192425,50.97255,11.038499,
Ergenzingen,336861,58407,48.48959,8.810191,
Ergenzingen Bahnhof,,336861,48.489594,8.809949,1
