route_id,service_id,trip_id
1,107,292268
1,155,1587233
1,192,342651
1,258,1430454
1,288,1618996
1,30,1257450
1,30,1308687
1,30,184904
1,327,610896
1,426,1800672
1,426,511618
1,426,545966
1,426,804903
1,464,1342209
1,481,277365
1,583,1485213
1,583,242785
1,583,424197
1,583,475268
10,125,149059
10,125,761231
10,127,922663
10,152,424231
10,162,568933
10,162,752043
10,163,923928
10,173,653308
10,225,1028253
10,225,214150
10,225,940673
10,225,946739
10,241,1268720
10,241,497321
10,241,767301
10,33,1340254
10,33,1534577
10,33,722702
10,33,8857
10,354,483711
10,354,84944
10,371,1002302
10,371,130971
10,371,717119
10,387,1025618
10,387,1038531
10,387,113925
10,387,117761
10,387,1319522
10,387,1401106
10,387,1503788
10,387,241492
10,387,420629
10,387,431534
10,387,693518
10,387,763031
10,387,764485
10,387,924485
10,414,1463693
10,414,270089
10,436,1307075
10,436,1325898
10,436,1407637
10,436,1621689
10,436,257810
10,449,1799568
10,455,1090958
10,455,1384694
10,455,506552
10,455,522420
10,464,1023556
10,464,1026356
10,464,1117580
10,464,1197234
10,464,1334497
10,464,1409053
10,464,141536
10,464,1433248
10,464,1529374
10,464,159335
10,464,1851004
10,464,204420
10,464,250808
10,464,485128
10,464,621936
10,464,745237
10,464,935755
10,509,969916
10,514,1754677
10,514,641001
10,514,775814
10,53,1453955
10,53,1629408
10,53,1732117
10,53,1885880
10,53,292342
10,53,337351
10,53,391347
10,53,665037
10,53,754705
10,53,822940
10,53,829119
10,53,867414
10,53,878793
10,531,1257601
10,559,325463
10,559,849364
10,579,1194788
10,579,1453394
10,579,1643388
10,579,1680912
10,579,1732141
10,579,1802233
10,579,267419
10,579,335199
10,579,374063
10,579,375025
10,579,399713
10,579,920168
10,579,972738
10,579,991691
10,589,234923
10,589,79768
10,607,1426202
10,61,1585506
10,61,1748401
10,94,1473217
10,94,1570647
10,94,436449
100,109,1355152
100,109,1636964
100,125,756459
100,13,413202
100,144,261196
100,144,88390
100,154,1295687
100,154,1639898
100,154,172654
100,162,1753772
100,164,1043654
100,164,876071
100,166,1415817
100,195,1871615
100,201,112620
100,201,1483038
100,201,750625
100,243,805440
100,245,557194
100,247,1397989
100,280,1469614
100,295,1124824
100,316,1239841
100,317,67260
100,319,132456
100,319,1836851
100,319,86700
100,320,37265
100,320,888435
100,33,1404443
100,33,1632050
100,33,574318
100,33,758453
100,347,185824
100,351,1601257
100,351,722185
100,360,1702291
100,360,928493
100,37,111868
100,37,1686919
100,37,206868
100,37,233501
100,37,421632
100,37,624447
100,375,495737
100,387,1192504
100,387,610016
100,39,1403788
100,39,373972
100,39,619492
100,414,1738385
100,414,465291
100,418,1695640
100,442,580477
100,455,4886
100,458,777187
100,488,208844
100,491,343730
100,499,1630578
100,504,1072357
100,504,1453503
100,529,219141
100,53,1113835
100,53,1512481
100,53,1713652
100,53,475499
100,53,599362
100,53,636554
100,532,1467578
100,543,33760
100,550,1138637
100,550,1500609
100,550,1521180
100,550,1775681
100,550,227277
100,550,526608
100,550,666448
100,550,785945
100,550,94132
100,552,286387
100,552,54159
100,557,153430
100,562,167979
100,567,1791900
100,567,413536
100,568,115746
100,574,1494173
100,574,182682
100,574,707693
100,579,1124540
100,579,1440759
100,579,1833887
100,579,397373
100,579,521327
100,579,751332
100,579,777037
100,579,895665
100,579,979453
100,579,990349
100,591,1541587
100,591,1724221
100,597,1832313
100,597,289645
100,607,150865
100,63,1807253
100,70,1071312
100,99,14414
100,99,316087
100,99,68104
101,132,1496840
101,132,411038
101,133,411716
101,150,1564711
101,162,470545
101,202,603073
101,202,642254
101,295,1191393
101,295,436501
101,319,1508483
101,319,803575
101,334,1020825
101,339,1067390
101,386,364548
101,436,98410
101,464,1541157
101,464,758236
101,487,1626816
101,520,1868798
101,53,1842045
101,559,1871791
101,579,1222570
101,579,1409695
101,579,851529
101,61,1535845
101,61,1637715
101,99,1313098
101,99,1338279
102,125,1221206
102,125,1637766
102,125,469100
102,125,64589
102,125,919852
102,317,1517359
102,317,1773140
102,317,179255
102,317,599649
102,317,96445
102,387,1661865
102,414,1375728
102,428,1176873
103,464,1717527
103,514,1715035
104,446,1175087
104,565,1098016
104,565,1289488
105,106,1671823
105,125,109375
105,163,1294522
105,163,1301887
105,163,217384
105,163,227679
105,163,292289
105,163,295123
105,163,508121
105,163,560993
105,317,64724
105,407,688727
105,407,798895
105,449,107493
105,475,1505292
105,475,569263
105,583,1022370
105,99,130920
105,99,1331721
105,99,170515
105,99,1708062
105,99,437709
105,99,44304
105,99,54025
105,99,829717
106,157,270283
106,166,1462496
106,33,154485
106,33,209186
106,33,569815
106,33,671151
106,37,246471
106,381,1250423
106,39,1841750
106,392,1128938
106,392,1600504
106,401,1219229
106,415,366977
106,415,440640
106,550,198310
106,550,914460
106,567,1800042
106,579,127136
106,579,373688
106,579,675015
106,579,78618
107,129,1051315
107,129,773206
107,132,256492
107,132,678677
107,132,776676
107,132,822471
107,153,1742975
107,217,697383
107,221,542713
107,256,1277357
107,262,1800237
107,266,515452
107,297,1792613
107,315,1340173
107,315,1431394
107,315,1759482
107,317,589982
107,319,1127323
107,319,1131245
107,319,1569785
107,319,180772
107,319,1861990
107,319,232934
107,319,253040
107,319,440848
107,319,44703
107,319,474410
107,319,476771
107,319,481130
107,327,333296
107,327,530403
107,33,1307649
107,33,1468084
107,33,662539
107,33,686811
107,339,532882
107,373,244479
107,373,325587
107,373,987944
107,378,490906
107,387,1223862
107,387,1230589
107,387,23375
107,387,275811
107,387,53264
107,387,760928
107,399,458774
107,417,1283491
107,417,1742652
107,429,462715
107,455,403462
107,464,1108431
107,464,1381530
107,464,1404730
107,464,1517104
107,464,1518020
107,464,1717419
107,464,28535
107,464,552337
107,464,776624
107,479,765956
107,511,1376829
107,511,602333
107,53,105439
107,53,111275
107,53,1124199
107,53,1666577
107,53,362607
107,53,427892
107,53,69208
107,53,737383
107,53,947740
107,53,968284
107,538,552675
107,544,17172
107,579,1026238
107,579,1142725
107,579,1283762
107,579,1503326
107,579,153538
107,579,1668111
107,579,1837952
107,579,204217
107,579,21496
107,579,299828
107,579,391907
107,579,466632
107,579,494401
107,579,754555
107,579,806484
107,583,1614192
107,598,149769
107,598,1717719
107,598,1853752
107,598,227518
107,598,374864
107,60,133459
107,607,1121004
107,92,1214563
107,92,1496532
107,92,1718500
107,92,545597
107,92,853974
107,92,963249
107,99,586445
108,446,956037
109,132,1171187
109,140,1590128
109,153,725592
109,154,912412
109,157,1736502
109,177,1090492
109,177,1473757
109,177,1509408
109,177,1579936
109,177,47090
109,201,189530
109,201,274985
109,21,344307
109,210,1230571
109,229,835325
109,229,889941
109,253,1176200
109,29,4984
109,317,176381
109,317,503284
109,317,637222
109,317,772101
109,319,1067818
109,33,1408985
109,33,15608
109,345,243783
109,349,545051
109,351,1134312
109,351,1217815
109,351,1371336
109,351,645585
109,354,1113037
109,354,931067
109,360,1824159
109,360,802590
109,360,945642
109,383,1053889
109,387,619360
109,39,1615307
109,392,1013843
109,392,1885420
109,392,858338
109,403,1019590
109,403,1151713
109,407,293251
109,407,581518
109,411,1488363
109,417,1135182
109,417,387365
109,417,921432
109,417,93305
109,428,1023733
109,435,1881563
109,440,202889
109,440,284389
109,443,1295267
109,446,129292
109,455,1782032
109,464,107371
109,464,1228870
109,464,1748400
109,464,31676
109,464,42545
109,464,698386
109,464,782579
109,464,801466
109,494,1038075
109,514,1056536
109,514,1804897
109,514,599026
109,528,618748
109,529,1511895
109,550,1236102
109,550,1420298
109,550,1648435
109,550,1693688
109,550,40270
109,550,462207
109,550,475539
109,550,75047
109,550,775951
109,550,915802
109,567,181967
109,574,287355
109,579,1350249
109,579,225877
109,579,289869
109,583,129701
109,583,1300894
109,583,1426149
109,583,1569706
109,583,5101
109,591,1112558
109,607,999351
109,609,1253028
109,609,1292810
109,609,1351171
109,609,1848859
109,609,985804
109,71,1781284
109,76,685703
109,87,14545
109,87,1711613
109,87,557382
11,10,1163465
11,10,159894
11,100,165775
11,109,356036
11,111,56746
11,118,1355181
11,118,1617569
11,118,375062
11,125,104982
11,125,1773330
11,125,187832
11,125,78990
11,125,96787
11,135,842706
11,143,691547
11,144,893252
11,154,1501688
11,158,967477
11,172,224186
11,174,947338
11,183,1186704
11,189,544511
11,201,1108323
11,218,1548131
11,219,72353
11,219,955785
11,223,157231
11,223,1578585
11,227,726278
11,233,374988
11,234,60220
11,24,1129773
11,247,507051
11,262,1001936
11,262,1159210
11,262,1362288
11,262,1496392
11,264,910914
11,267,1635242
11,267,743811
11,267,811380
11,267,911042
11,272,1650475
11,272,433067
11,274,967402
11,276,1029015
11,282,1373835
11,287,258052
11,287,603199
11,306,665650
11,309,1128481
11,317,104613
11,317,1094332
11,317,1125556
11,317,1174154
11,317,1223770
11,317,1227282
11,317,1324765
11,317,1389691
11,317,1415030
11,317,1426126
11,317,1551234
11,317,1565494
11,317,163133
11,317,1649259
11,317,1652311
11,317,1775445
11,317,203907
11,317,277612
11,317,415877
11,317,44806
11,317,449838
11,317,532012
11,317,561081
11,317,602306
11,317,692289
11,317,891969
11,318,1456948
11,318,1664483
11,319,704870
11,323,1719302
11,33,100436
11,33,1331570
11,33,1489048
11,33,1769402
11,33,349623
11,33,388369
11,33,885625
11,33,908481
11,330,1239747
11,339,18000
11,339,957611
11,353,1005934
11,353,558143
11,354,236747
11,37,1144947
11,37,1221226
11,37,1324799
11,37,1400454
11,37,1447057
11,37,1521982
11,37,15828
11,37,1639804
11,37,1731283
11,37,212245
11,37,552287
11,37,657325
11,37,66304
11,37,671909
11,37,710455
11,37,855349
11,387,1104514
11,387,1181264
11,387,1237258
11,387,1647468
11,387,503725
11,387,541959
11,387,562018
11,387,914485
11,39,1420472
11,39,322675
11,39,559530
11,39,732035
11,39,735572
11,39,750318
11,39,794151
11,390,1110459
11,406,1108390
11,414,1520158
11,414,447483
11,415,1580258
11,42,1295753
11,433,451757
11,443,425765
11,449,1827622
11,449,916657
11,454,370733
11,455,156229
11,455,1704732
11,455,749216
11,455,960606
11,458,1408760
11,458,884406
11,464,544310
11,464,762745
11,469,1324872
11,469,611998
11,469,94341
11,470,1178726
11,470,433902
11,473,251156
11,480,1597198
11,499,1212414
11,507,1731045
11,515,546834
11,524,1730411
11,527,1448129
11,53,134819
11,53,1449878
11,53,1461891
11,53,1695284
11,53,1716604
11,53,1798559
11,53,1860184
11,53,401839
11,53,477900
11,53,630195
11,53,753578
11,53,955184
11,53,976042
11,53,987708
11,541,1865150
11,543,1587063
11,543,17278
11,543,1828277
11,543,1866153
11,543,612082
11,543,763700
11,550,1523692
11,550,210056
11,550,268718
11,550,487589
11,550,910000
11,552,891378
11,566,1878609
11,575,895217
11,579,1014469
11,579,1072380
11,579,1151435
11,579,1167221
11,579,1282176
11,579,1507527
11,579,1518047
11,579,1565078
11,579,250152
11,579,25633
11,579,344369
11,579,731500
11,579,78362
11,583,12923
11,583,1414216
11,583,1435513
11,583,1716295
11,583,194790
11,583,304388
11,583,525147
11,583,654476
11,583,749675
11,583,806057
11,583,984148
11,584,100046
11,591,251499
11,602,197532
11,604,126204
11,604,1838241
11,607,1035719
11,607,1560590
11,607,544940
11,72,1021301
11,72,1070306
11,72,493512
11,73,633681
11,8,101121
11,8,1813199
11,8,314078
11,8,423258
11,8,426534
11,8,724839
11,81,1692925
11,81,652678
11,99,1602257
110,128,508689
110,132,1434039
110,189,370501
110,371,1604889
110,407,1174892
110,407,1359024
110,407,1745722
110,414,482366
110,414,665994
